Job Title,Location,Education,Experience,Salary
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
Software Engineer,San Francisco,Bachelor,1,100000
Data Analyst,New York,Master,3,85000
Project Manager,Chicago,PhD,5,95000
Marketing Manager,Austin,High School,7,78000
